"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 01:01:57 IST 2024","Wed May 01 01:02:08 IST 2024","11309","chrome","LoginTest.spec.js","","","","Login with Valid Credentials ZARA COAT 3",""
"passed","Wed May 01 01:02:08 IST 2024","Wed May 01 01:02:15 IST 2024","6682","chrome","LoginTest.spec.js","","","","Login with Valid Credentials ADIDAS ORIGINAL",""
